alterimagetext,date,description,domainname,imagepath,label,link,tags,title
Patch Your GoAnywhere MFT Immediately - Critical Flaw Lets Anyone Be Admin,"Jan 24, 2024"," A critical security flaw has been disclosed in Fortra's GoAnywhere Managed File Transfer (MFT) software that could be abused to create a new administrator user. Tracked as  CVE-2024-0204 , the issue carries a CVSS score of 9.8 out of 10. ""Authentication bypass in Fortra's GoAnywhere MFT prior to 7.4.1 allows an unauthorized user to create an admin user via the administration portal,"" Fortra  said  in an advisory released on January 22, 2024. Users who cannot upgrade to version 7.4.1 can apply temporary workarounds in non-container deployments by deleting the InitialAccountSetup.xhtml file in the install directory and restarting the services. For container-deployed instances, it's recommended to replace the file with an empty file and restart. Mohammed Eldeeb and Islam Elrfai of Cairo-based Spark Engineering Consultants have been credited with discovering and reporting the flaw in December 2023. Cybersecurity firm Horizon3.ai, which published a  proof-of-co",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiwgF7QdFc-3uBWmZRklL-QNNCojhsOnPnaYJBqB0Kx8CFNte09Ogzs1sgdZBz5Kb7JPZ-IYNI1clCeG3p1zWtgPN3GQMnyurFq9S8QvS5-ZtYzvvjk8rkMpEsmPoXgYicoC8dA8da6k9KskK5fPvPJdfVAWfNnlsq5tlkCHKIpcT2W4e7MntvMf-0LJj5E/s728-rw-e365/forta.jpg,"
,
,
",https://thehackernews.com/2024/01/patch-your-goanywhere-mft-immediately.html,Vulnerability / Endpoint Security,Patch Your GoAnywhere MFT Immediately - Critical Flaw Lets Anyone Be Admin
How Nation-State Actors Target Your Business: New Research Exposes Major SaaS Vulnerabilities ,"Feb 15, 2024"," With many of the highly publicized 2023 cyber attacks revolving around one or more SaaS applications, SaaS has become a cause for genuine concern in many boardroom discussions. More so than ever, considering that GenAI applications are, in fact, SaaS applications. Wing Security (Wing), a SaaS security company, conducted an analysis of 493 SaaS-using companies in Q4 of 2023.  Their study reveals  how companies use SaaS today, and the wide variety of threats that result from that usage. This unique analysis provides rare and important insights into the breadth and depth of SaaS-related risks, but also provides practical tips to mitigate them and ensure SaaS can be widely used without compromising security posture.  The TL;DR Version Of SaaS Security 2023 brought some now infamous examples of malicious players leveraging or directly targeting SaaS, including the North Korean group UNC4899, 0ktapus ransomware group, and Russian Midnight Blizzard APT, which targeted well-known organizat",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhCb3lbR5kKaNE9_BRADHrZqnNzA8MYLNnIDfJ8esB94HKtdiQsqC0exNVk5hWYeLbeUYgQyjqJoIshnKImmBKXjjSU_QWjoQnFtll_ge1xVfpf-nAl_f15ERLDetjxzj__ejnde7ebtIh3E27BN3Xm5UTrexnvX5p7oL_dT8oq25Pl5jwRT1UqeQb4VO8/s728-rw-e365/wing.jpg,,https://thehackernews.com/2024/02/how-nation-state-actors-target-your.html,SaaS Security / Risk Management,How Nation-State Actors Target Your Business: New Research Exposes Major SaaS Vulnerabilities 
VexTrio: The Uber of Cybercrime - Brokering Malware for 60+ Affiliates,"Jan 23, 2024"," The threat actors behind ClearFake, SocGholish, and dozens of other e-crime outfits have established partnerships with another entity known as  VexTrio  as part of a massive ""criminal affiliate program,"" new findings from Infoblox reveal. The latest development demonstrates the ""breadth of their activities and depth of their connections within the cybercrime industry,"" the company said , describing VexTrio as the ""single largest malicious traffic broker described in security literature."" VexTrio, which is believed to be have been active since at least 2017, has been attributed to  malicious campaigns  that use domains generated by a dictionary domain generation algorithm ( DDGA ) to propagate scams, riskware, spyware, adware, potentially unwanted programs (PUPs), and pornographic content. This includes a 2022 activity cluster that  distributed the Glupteba malware  following an earlier attempt by Google to take down a significant chunk of its infrastru",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiex3NCiGCTiRUF4n4vncO2jTMjEiqvFbQnbjDJCeSeYEPps6mc3jk601jUS5j8X-A0usnLsO5tTTKR9Bhf9vPZcn-684Kop8wjgYIS3GHvdqNN5fQBiipblMSncrIyStZXcg3h3jcSG_M_aQqqwLdEHzVDg5a-wMOHofVuYDF26OLCM0d_eu9qBmj8VlF0/s728-rw-e365/main.jpg,"
,
,
",https://thehackernews.com/2024/01/vextrio-uber-of-cybercrime-brokering.html,Malware / Cyber Threat,VexTrio: The Uber of Cybercrime - Brokering Malware for 60+ Affiliates
Malicious NPM Packages Exfiltrate Hundreds of Developer SSH Keys via GitHub,"Jan 23, 2024"," Two malicious packages discovered on the npm package registry have been found to leverage GitHub to store Base64-encrypted SSH keys stolen from developer systems on which they were installed. The modules named  warbeast2000  and  kodiak2k  were published at the start of the month, attracting  412  and  1,281 downloads  before they were taken down by the npm maintainers. The most recent downloads occurred on January 21, 2024. Software supply chain security firm ReversingLabs, which made the discovery, said there were eight different versions of warbeast2000 and more than 30 versions of kodiak2k. Both the modules are designed to run a postinstall script after installation, each capable of retrieving and executing a different JavaScript file. While warbeast2000 attempts to access the private SSH key, kodiak2k is designed to look for a key named ""meow,"" raising the possibility that the threat actor likely used a placeholder name during the early stages of the development. ",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiqZEU_OZCWS9Z7o_efno7pYukCHEq_OJx8BP5OkyY0CP1H-x2ZVBdPp3R18BUOMVKNwuSiVJYHUgzbZtKTBVX4-dCxzYWMAW8tlfcTxKz896uxqAA96YndFEko8manNa73s89Rf738yTBBys4i8aykrEJg8Mk5662Bo-BWsJGtJN2rnluQqHTkXdw4n_-R/s728-rw-e365/ssh.jpg,"
,
,
",https://thehackernews.com/2024/01/malicious-npm-packages-exfiltrate-1600.html,Software Security / Supply Chain,Malicious NPM Packages Exfiltrate Hundreds of Developer SSH Keys via GitHub
"""Activator"" Alert: MacOS Malware Hides in Cracked Apps, Targeting Crypto Wallets","Jan 23, 2024"," Cracked software have been observed infecting Apple macOS users with a previously undocumented stealer malware capable of harvesting system information and cryptocurrency wallet data. Kaspersky, which identified the artifacts in the wild,  said  they are designed to target machines running macOS Ventura 13.6 and later, indicating the malware's ability to infect Macs on both Intel and Apple silicon processor architectures. The attack chains leverage booby-trapped disk image (DMG) files that include a program named ""Activator"" and a pirated version of legitimate software such as xScope. Users who end up opening the DMG files are urged to move both files to the Applications folder and run the Activator component to apply a supposed patch and run the xScope app. Launching Activator, however, displays a prompt asking the victim to enter the system administrator password, thereby allowing it to execute a Mach-O binary with elevated permissions in order to launch the modif",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiYWoV1FgwGyNfx8eL0pQI5u9lGLnQM2NWnA5Q9YcuipJwnYn2sb9-AqUR7vkGWkkbgwlksmfmeX2Tyjqhi8_vElP1xFzCkDkH1aZPj9vUIC_UR5bujhl863DFHlOFLuMNlhrYrgiCRqXfVFNu1qVJEF40TDGfJHiyuqM3xA26gUH6q_BLDwKIpSUCBqR3O/s728-rw-e365/macos.jpg,"
,
,
",https://thehackernews.com/2024/01/activator-alert-macos-malware-hides-in.html,Malware / Cryptocurrency,"""Activator"" Alert: MacOS Malware Hides in Cracked Apps, Targeting Crypto Wallets"
From Megabits to Terabits: Gcore Radar Warns of a New Era of DDoS Attacks,"Jan 23, 2024"," As we enter 2024, Gcore has released its latest Gcore Radar report, a twice-annual publication in which the company releases internal analytics to track DDoS attacks. Gcore's broad, internationally distributed network of scrubbing centers allows them to follow attack trends over time. Read on to learn about DDoS attack trends for Q3–Q4 of 2023, and what they mean for developing a robust protection strategy in 2024. Gcore's Key Findings DDoS attack trends for the second half of 2023 reveal alarming developments in the scale and sophistication of cyberthreats. Unprecedented Attack Power The past three years have brought about a >100% annual increase in DDoS peak (registered maximum) attack volume: In 2021, the peak capacity of DDoS attacks was  300 Gbps In 2022, it increased to  650 Gbps In Q1–Q2 of 2023, it increased again to  800 Gbps In Q3–Q4 of 2023, it surged to  1600 Gbps  (1.6 Tbps) Notably, the jump in H2 of 2023 means the cybersecurity industry is measuring DDoS a",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiehTKDTSAFodRERDdEgDGO_4t8waXDE7IbZmA_7SmHaLcnkMv0B6Iwse8khEmUgqoG9RFSy3KrVpAoFWcv77dJBfLnAvUXg-YHL8oTcfsJPNI-Ioyx8noGjavHGSjjJQ8xM_M8tQ8_DTIXOKDfIltixi9yOWp2fQ0TYmTODUZXVlhtmRQf1w0tGrFVu6VX/s728-rw-e365/ddos-attacks.jpg,"
,
,
",https://thehackernews.com/2024/01/from-megabits-to-terabits-gcore-radar.html,Cybersecurity / Server Security,From Megabits to Terabits: Gcore Radar Warns of a New Era of DDoS Attacks
"BreachForums Founder Sentenced to 20 Years of Supervised Release, No Jail Time","Jan 23, 2024"," Conor Brian Fitzpatrick has been sentenced to time served and 20 years of supervised release for his role as the creator and administrator of BreachForums. Fitzpatrick, who went by the online alias ""pompompurin,"" was arrested in March 2023 in New York and was subsequently charged with conspiracy to commit access device fraud and possession of child pornography. He was later released on a $300,000 bond, and in July 2023, he pleaded guilty to the charges. BreachForums was a major cyber crime marketplace that facilitated the trafficking of stolen data since March 2022. Prior to its shutdown exactly a year later, the website boasted of over 340,000 members. Among the stolen items commonly sold on the platform were bank account information, Social Security numbers, personally identifying information (PII), hacking tools, breached databases, and account login information for compromised online accounts with service providers and merchants. BreachForums also advertised servic",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgnXMTiFlPVdGvRPTRsbAXxoK0QOp8AWfrB1-LzEY60-yXLz3UhJcCm5XlXKAnnCZ2TrToXzYsq-w__3lRNfjXB0znUSL6pXtBzzFFaKto9O_wzGQMCwGEnWADONGQUk2XhrWU7zwbahd5xABbuj2fNPF9Lg1lFPrAjMflB1u13JfVFPgcywgssRk23RfLO/s728-rw-e365/cybercrime.jpg,"
,
,
",https://thehackernews.com/2024/01/breachforums-founder-sentenced-to-20.html,Cyber Crime / Dark Web,"BreachForums Founder Sentenced to 20 Years of Supervised Release, No Jail Time"
"~40,000 Attacks in 3 Days: Critical Confluence RCE Under Active Exploitation","Jan 23, 2024"," Malicious actors have begun to actively exploit a recently disclosed critical security flaw impacting Atlassian Confluence Data Center and Confluence Server, within three days of public disclosure. Tracked as CVE-2023-22527 (CVSS score: 10.0), the vulnerability impacts out-of-date versions of the software, allowing unauthenticated attackers to achieve remote code execution on susceptible installations. The shortcoming affects Confluence Data Center and Server 8 versions released before December 5, 2023, as well as 8.4.5. But merely days after the flaw became public knowledge, nearly 40,000 exploitation attempts targeting CVE-2023-22527 have been recorded in the wild as early as January 19 from more than 600 unique IP addresses, according to both the Shadowserver Foundation and the DFIR Report . The activity is currently limited ""testing callback attempts and 'whoami' execution,"" suggesting that threat actors are opportunistically scanning for vulnerable servers",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjMz0fi3Z_DuQVGHuD0qMhwE-uAng8Ux_753zo3cD7r5n97JdWJkLqCz1AvpRUI1KpgQpwP51nep2JjaF89VdV5oIt5ATBQrgl4WLd67Fbs7MXLUijkcYHna5ZZ71rRm-CdzEUA31A0QAivMxEzRhwZi0UK3nMDSbgXIgMcTh8BMzk_srUuWvtO14ZOTm5v/s728-rw-e365/jira.jpg,"
,
,
",https://thehackernews.com/2024/01/40000-attacks-in-3-days-critical.html,Vulnerability / Cyber Attack,"~40,000 Attacks in 3 Days: Critical Confluence RCE Under Active Exploitation"
"Apple Issues Patch for Critical Zero-Day in iPhones, Macs - Update Now","Jan 23, 2024"," Apple on Monday released security updates for iOS, iPadOS, macOS, tvOS, and Safari web browser to address a zero-day flaw that has come under active exploitation in the wild. The issue, tracked as CVE-2024-23222 , is a type confusion bug in the WebKit browser engine that could be exploited by a threat actor to achieve arbitrary code execution when processing maliciously crafted web content. The tech giant said the problem was fixed with improved checks. Type confusion vulnerabilities , in general, could be weaponized to perform out-of-bounds memory access, or lead to a crash and arbitrary code execution. In a terse advisory, Apple acknowledged it's ""aware of a report that this issue may have been exploited,"" but did not share any other specifics about the nature of attacks or the threat actors leveraging the shortcoming. The updates are available for the following devices and operating systems - iOS 17.3 and iPadOS 17.3 - iPhone XS and later, iPad Pro 12.9-inch",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEii8xICfswm3_OdnrjfO9OLcUNwfw6JX2kwGHZ-R_dfwhvK8pTvtfARuSyuw2qk1-Ptj11HX2sMWEfFXnHBU6B9FMDhF8ZXuezX5SLvxeCNir2UsLQ7nufTjf31miSkibUGmmwLCQCE_f-m00Hbw3ef7mtkcts3LLPnpV9v_12Cf9Da-UjJ66CaJYuM922G/s728-rw-e365/apple.jpg,"
,
,
",https://thehackernews.com/2024/01/apple-issues-patch-for-critical-zero.html,Vulnerability / Device Security,"Apple Issues Patch for Critical Zero-Day in iPhones, Macs - Update Now"
North Korean Hackers Weaponize Research Lures to Deliver RokRAT Backdoor,"Jan 22, 2024"," Media organizations and high-profile experts in North Korean affairs have been at the receiving end of a new campaign orchestrated by a threat actor known as  ScarCruft  in December 2023. ""ScarCruft has been experimenting with new infection chains, including the use of a technical threat research report as a decoy, likely targeting consumers of threat intelligence like cybersecurity professionals,"" SentinelOne researchers Aleksandar Milenkoski and Tom Hegel  said  in a report shared with The Hacker News. The North Korea-linked adversary, also known by the name APT37, InkySquid, RedEyes, Ricochet Chollima, and Ruby Sleet, is  assessed  to be part of the Ministry of State Security (MSS), placing it apart from Lazarus Group and Kimsuky, which are elements within the Reconnaissance General Bureau (RGB). The group is  known  for its targeting of governments and defectors, leveraging  spear-phishing lures  to deliver  RokRAT and other backdoors  with the ultimate goal of  cove",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi_-khbTskZznFlrUbKt-GdR2eE8rABDnahJ6kGJcACFE_sIpXWDUn1FJNP1PqXeflvwoAK-L_2lPcTWg7ZfOmUiEwGuxgknLFllBv-aJPP7OWxTqWUsFD4sEZIiPnWcY-V6CsjGC9m1xApXaIJxu_rIZ6TS5TdzABfG62zuk7bKrg_w-5eKmFeKnLnLhHN/s728-rw-e365/nk.jpg,"
,
,
",https://thehackernews.com/2024/01/north-korean-hackers-weaponize-fake.html,Cyber Attack / Hacking,North Korean Hackers Weaponize Research Lures to Deliver RokRAT Backdoor
MavenGate Attack Could Let Hackers Hijack Java and Android via Abandoned Libraries,"Jan 22, 2024"," Several public and popular libraries abandoned but still used in Java and Android applications have been found susceptible to a new software supply chain attack method called MavenGate. ""Access to projects can be hijacked through domain name purchases and since most default build configurations are vulnerable, it would be difficult or even impossible to know whether an attack was being performed,"" Oversecured  said  in an analysis published last week. Successful exploitation of these shortcomings could allow nefarious actors to hijack artifacts in dependencies and inject malicious code into the application, and worse, even compromise the build process through a malicious plugin. The mobile security firm added that all Maven-based technologies, including Gradle, are vulnerable to the attack, and that it sent reports to more than 200 companies, including Google, Facebook, Signal, Amazon, and others. Apache Maven is  chiefly used  for building and managing Java-based projec",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEghOt5PQiOdtvv_t7SI-qFb3OUQtpoi7Ze6Jz14i_g5foQEtOEOilYCYf8rj-LYacAuQlcpxqkrMSEEVVzOxiTlk8jsTirVvESPMwbVr0hZnau_Ojcp5NFRAGjMoPsSsfKOpoDA2TjRhDFaV7oIXjYGMbiKIChFtsGKc65_U2E3LsnfzpsGc_yi7Dx0pcLz/s728-rw-e365/app-code.jpg,"
,
,
",https://thehackernews.com/2024/01/hackers-hijack-popular-java-and-android.html,Software Security / Supply Chain,MavenGate Attack Could Let Hackers Hijack Java and Android via Abandoned Libraries
How Nation-State Actors Target Your Business: New Research Exposes Major SaaS Vulnerabilities ,"Feb 15, 2024"," With many of the highly publicized 2023 cyber attacks revolving around one or more SaaS applications, SaaS has become a cause for genuine concern in many boardroom discussions. More so than ever, considering that GenAI applications are, in fact, SaaS applications. Wing Security (Wing), a SaaS security company, conducted an analysis of 493 SaaS-using companies in Q4 of 2023.  Their study reveals  how companies use SaaS today, and the wide variety of threats that result from that usage. This unique analysis provides rare and important insights into the breadth and depth of SaaS-related risks, but also provides practical tips to mitigate them and ensure SaaS can be widely used without compromising security posture.  The TL;DR Version Of SaaS Security 2023 brought some now infamous examples of malicious players leveraging or directly targeting SaaS, including the North Korean group UNC4899, 0ktapus ransomware group, and Russian Midnight Blizzard APT, which targeted well-known organizat",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhCb3lbR5kKaNE9_BRADHrZqnNzA8MYLNnIDfJ8esB94HKtdiQsqC0exNVk5hWYeLbeUYgQyjqJoIshnKImmBKXjjSU_QWjoQnFtll_ge1xVfpf-nAl_f15ERLDetjxzj__ejnde7ebtIh3E27BN3Xm5UTrexnvX5p7oL_dT8oq25Pl5jwRT1UqeQb4VO8/s728-rw-e365/wing.jpg,,https://thehackernews.com/2024/02/how-nation-state-actors-target-your.html,SaaS Security / Risk Management,How Nation-State Actors Target Your Business: New Research Exposes Major SaaS Vulnerabilities 
52% of Serious Vulnerabilities We Find are Related to Windows 10,"Jan 22, 2024"," We analyzed 2,5 million vulnerabilities we discovered in our customer's assets. This is what we found. Digging into the data The dataset we analyze here is representative of a subset of clients that subscribe to our vulnerability scanning services. Assets scanned include those reachable across the Internet, as well as those present on internal networks. The data includes findings for network equipment, desktops, web servers, database servers, and even the odd document printer or scanning device. The number of organizations in this dataset is smaller (3 less) than the previous dataset used in last year's Security Navigator 2023 and some organizations were replaced by new additions. With the change of organizations comes a different mix of assets, which leaves comparing the previous results akin to comparing apples to oranges (we might be biased), but it's still worth noting similar patterns where possible. This year, we revisit the menacing vulnerability theme with an eye on ",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhhDe3Qys-E3gJIW3MId4538XSaIW5bKKL309ZrOcrtgyC2CcASKBNV0kXYYVJKdR-g_NrDXmUBi5IYgqz1zJrRwyx206LbGuvpNOd9cYj3LJF8LCzfKQghs7hYJVhsi9JwNeojRdIwAbFhLuTWu4gf7zKkpukpMlnNnLvdW_hVIbAqux6VNMoSQ0lJ5IM/s728-rw-e365/windows.jpg,"
,
,
",https://thehackernews.com/2024/01/52-of-serious-vulnerabilities-we-find.html,Vulnerability Management / Pentesting,52% of Serious Vulnerabilities We Find are Related to Windows 10
NS-STEALER Uses Discord Bots to Exfiltrate Your Secrets from Popular Browsers,"Jan 22, 2024"," Cybersecurity researchers have discovered a new Java-based ""sophisticated"" information stealer that uses a Discord bot to exfiltrate sensitive data from compromised hosts. The malware, named  NS-STEALER , is propagated via ZIP archives masquerading as cracked software, Trellix security researcher Gurumoorthi Ramanathan  said  in an analysis published last week. The ZIP file contains within it a rogue Windows shortcut file (""Loader GAYve""), which acts as a conduit to deploy a malicious JAR file that first creates a folder called ""NS-<11-digit_random_number>"" to store the harvested data. To this folder, the malware subsequently saves screenshots, cookies, credentials, and autofill data stolen from over two dozen web browsers, system information, a list of installed programs, Discord tokens, Steam and Telegram session data. The captured information is then exfiltrated to a Discord Bot channel. ""Considering the highly sophisticated functio",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhCpcZqf3LatNfJgDINya84ojnh5JPe6VlT6lKlfXb2aFmg1lGh_HTeT1wV9xvDHTVnWgo9_hF29TGdLZ1qvrFlBForGjor45xhJWs7nFwhPdwEpsImFGHxCdypduWVINXgxW5WPkxrPnwyhfoZtzQ2W00tDoTPtV8AEa3kh_V2HJFihVm76YS9q07Vy7jC/s728-rw-e365/browser.jpg,"
,
,
",https://thehackernews.com/2024/01/ns-stealer-uses-discord-bots-to.html,Browser Security / Cyber Threat,NS-STEALER Uses Discord Bots to Exfiltrate Your Secrets from Popular Browsers
FTC Bans InMarket for Selling Precise User Location Without Consent,"Jan 22, 2024"," The U.S. Federal Trade Commission (FTC) is continuing to clamp down on data brokers by prohibiting InMarket Media from selling or licensing precise location data. The settlement is part of allegations that the Texas-based company did not inform or seek consent from consumers before using their location information for advertising and marketing purposes. ""InMarket will also be prohibited from selling, licensing, transferring, or sharing any product or service that categorizes or targets consumers based on sensitive location data,"" the FTC  said  last week. In addition, it has been ordered to destroy all the location data it previously collected subject to users' assent, as well as provide a mechanism for consumers to withdraw their consent and request for deletion of the information previously collected. The development makes InMarket the second data aggregator to face a ban in as many weeks after Outlogic (formerly X-Mode Social), which  faced accusations  that it ",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiMtuIFG6TWKAUIUVCALzj8140e5dWMPoFtYloUGAr-SKKwfl0Cyp_iSjyuxbGqjN7n8h4Av8py68NEqjMPLTh9ppQrUwcYgAS0pcbnfJn7CCzqrgUJHjjnPdQTJCOz6lYYojfY_0gv1I6onPw5f0cYUw5p5D_2RZ-oILZNQ1y9LEqp56dnSuRVzS5IPTuc/s728-rw-e365/IMG-20240122-WA0001.jpg,"
,
,
",https://thehackernews.com/2024/01/ftc-bans-inmarket-for-selling-precise.html,Privacy / Technology,FTC Bans InMarket for Selling Precise User Location Without Consent
Apache ActiveMQ Flaw Exploited in New Godzilla Web Shell Attacks,"Jan 22, 2024"," Cybersecurity researchers are warning of a ""notable increase"" in threat actor activity actively exploiting a now-patched flaw in Apache ActiveMQ to deliver the Godzilla web shell on compromised hosts. ""The web shells are concealed within an unknown binary format and are designed to evade security and signature-based scanners,"" Trustwave  said . ""Notably, despite the binary's unknown file format, ActiveMQ's JSP engine continues to compile and execute the web shell."" CVE-2023-46604 (CVSS score: 10.0) refers to a  severe vulnerability  in Apache ActiveMQ that enables remote code execution. Since its public disclosure in late October 2023, it has come under active exploitation by multiple adversaries to deploy  ransomware ,  rootkits, cryptocurrency miners , and  DDoS botnets . In the latest intrusion set observed by Trustwave, susceptible instances have been targeted by JSP-based web shells that are planted within the ""admin"" folder ",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhq-_h0-lBAtctWY3cUcnEfl1kUAOqyVdEjYyQB_mGFwLnr8L23UtGrafSYPm1IUyat1A0nuNHviEVA1H4lepPHUEj6aOPmUu3foyGc-PBhp1lF9tO0g7qM9n6xTwZieSFA5lQyNrVXMI0NKt5ERq0efBvy8Eq28v4hvwEP0azfUHey-Kckxt-uCixmssVD/s728-rw-e365/cyber-attack-bank-malware.png,"
,
,
",https://thehackernews.com/2024/01/apache-activemq-flaw-exploited-in-new.html,Vulnerability / Malware,Apache ActiveMQ Flaw Exploited in New Godzilla Web Shell Attacks
Chinese Hackers Silently Weaponized VMware Zero-Day Flaw for 2 Years,"Jan 20, 2024"," An advanced China-nexus cyber espionage group previously linked to the exploitation of security flaws in VMware and Fortinet appliances has been attributed to the abuse of a critical vulnerability in VMware vCenter Server as a zero-day since late 2021. ""UNC3886 has a track record of utilizing zero-day vulnerabilities to complete their mission without being detected, and this latest example further demonstrates their capabilities,"" Google-owned Mandiant said in a Friday report. The vulnerability in question is CVE-2023-34048 (CVSS score: 9.8), an out-of-bounds write that could be put to use by a malicious actor with network access to vCenter Server to achieve remote code execution. It was fixed by the Broadcom-owned company on October 24, 2023. The virtualization services provider, earlier this week, updated its advisory to acknowledge that ""exploitation of CVE-2023-34048 has occurred in the wild."" UNC3886 first came to light in September 2022 when it was ",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiae4BKSHIBZAWnWe1xne2EolHLttrw6DhyKijIlaeT133JWl2u7McVSO1la1WgD09rxrOVR8tk13-yaaSQkrkrEpTZDZmAWInsAX9kI2AF97KM5kYy6htBD_XY6guBKxuRoiY-2J9FYyFbb-X6NJb_32Il1-VwYjuZof4PuBWEvDTzhxXEXe5-7T9hn1aO/s728-rw-e365/hacking-chinese-iron-tiger-apt.png,"
,
,
",https://thehackernews.com/2024/01/chinese-hackers-silently-weaponized.html,Zero Day / Cyber Espionage,Chinese Hackers Silently Weaponized VMware Zero-Day Flaw for 2 Years
CISA Issues Emergency Directive to Federal Agencies on Ivanti Zero-Day Exploits,"Jan 20, 2024"," The U.S. Cybersecurity and Infrastructure Security Agency (CISA) on Friday issued an  emergency directive  urging Federal Civilian Executive Branch (FCEB) agencies to implement mitigations against two actively exploited zero-day flaws in Ivanti Connect Secure (ICS) and Ivanti Policy Secure (IPS) products. The development arrives as the  vulnerabilities  – an authentication bypass (CVE-2023-46805) and a code injection bug (CVE-2024-21887) – have come under widespread exploitation by multiple threat actors. The flaws allow a malicious actor to craft malicious requests and execute arbitrary commands on the system. The U.S. company  acknowledged  in an advisory that it has witnessed a ""sharp increase in threat actor activity"" starting on January 11, 2024, after the shortcomings were publicly disclosed. ""Successful exploitation of the vulnerabilities in these affected products allows a malicious threat actor to move laterally, perform data exfiltration, and establish per",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiyYpVGKV2DaxQbv7Ry0cnA3mKN35Ri4xZ5wGkp5CpGjfElWgL9TMrZOdisJKxFo6BG863794Ufi8BkijFQODwPr5Z044e4mcmryBM1x7bSnxomsqxW0NlHXwu3JDl-oloZmoyNw64JNE71N94N2hpgNb05qo2rWkbIzqUoA30kXr_qtgKZKwliiSMawYqR/s728-rw-e365/cisa.jpg,"
,
,
",https://thehackernews.com/2024/01/cisa-issues-emergency-directive-to.html,Network Security / Threat Intelligence,CISA Issues Emergency Directive to Federal Agencies on Ivanti Zero-Day Exploits
Microsoft's Top Execs' Emails Breached in Sophisticated Russia-Linked APT Attack,"Jan 20, 2024"," Microsoft on Friday revealed that it was the target of a nation-state attack on its corporate systems that resulted in the theft of emails and attachments from senior executives and other individuals in the company's cybersecurity and legal departments. The Windows maker attributed the attack to a Russian advanced persistent threat (APT) group it tracks as  Midnight Blizzard  (formerly Nobelium), which is also known as APT29, BlueBravo, Cloaked Ursa, Cozy Bear, and The Dukes. It further said that it immediately took steps to investigate, disrupt, and mitigate the malicious activity upon discovery on January 12, 2024. The campaign is estimated to have commenced in late November 2023. ""The threat actor used a  password spray attack  to compromise a legacy non-production test tenant account and gain a foothold, and then used the account's permissions to access a very small percentage of Microsoft corporate email accounts, including members of our senior leadership team a",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgYLMqF6nrcCMrDYYm3qNgrl4HTBPJ15mWMoHdDmQ8W0gyGhpFqwW1yhKiZ3ZyGVVJnU_RZfD900KFeOW0MOcfNNqaw_r7-J74dzdOJdup38j-kSNOzRQn6pv6kwmsJO-CnxaI3a4Bb8hmnAQkraTOTNgFZlYbnMdZ2GSSZpUwrgRssmSFsSkimIe12aVdi/s728-rw-e365/ms.jpg,"
,
,
",https://thehackernews.com/2024/01/microsofts-top-execs-emails-breached-in.html,Cyber Espionage / Emails Security,Microsoft's Top Execs' Emails Breached in Sophisticated Russia-Linked APT Attack
