alterimagetext,date,description,imagepath,label,link,tag1,tag2,title
"Brazilian Feds Dismantle Grandoreiro Banking Trojan, Arresting Top Operatives","Jan 30, 2024"," A Brazilian law enforcement operation has led to the arrest of several Brazilian operators in charge of the  Grandoreiro  malware. The Federal Police of Brazil  said  it served five temporary arrest warrants and 13 search and seizure warrants in the states of São Paulo, Santa Catarina, Pará, Goiás, and Mato Grosso. Slovak cybersecurity firm ESET, which provided additional assistance in the effort, said it uncovered a design flaw in Grandoreiro's network protocol that helped it to identify the victimology patterns. Grandoreiro  is one of the many Latin American banking trojans such as Javali, Melcoz, Casabeniero, Mekotio, and Vadokrist, primarily targeting countries like Spain, Mexico, Brazil, and Argentina. It's known to be active since 2017. In late October 2023, Proofpoint  revealed  details of a phishing campaign that distributed an updated version of the malware to targets in Mexico and Spain. The banking trojan has capabilities to both steal data through keyloggers ",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi1dHYGhmkRf1ylIsGmlmUDYt71mx6IqQjXxQihICcFMIhiXkaFgXXxs1i5k-xuQlJAWrJFe6n9F3kReUKeuQ8VQUEmVUOhBXWAkxUZ3gMuev6d2QEyptNs6K14780z5x3meZ61tvAL83mUUNfeVQq3J0xgi5RjJqbwRhityWntneRzlf39eRnlkMxefyhd/s728-rw-e365/brazil.jpg,"
,
,
",https://thehackernews.com/2024/01/brazilian-feds-dismantle-grandoreiro.html,Cyber Crime,Malware,"Brazilian Feds Dismantle Grandoreiro Banking Trojan, Arresting Top Operatives"
Microsoft Warns of Widening APT29 Espionage Attacks Targeting Global Orgs,"Jan 26, 2024"," Microsoft on Thursday said the Russian state-sponsored threat actors responsible for a  cyber attack on its systems  in late November 2023 have been targeting other organizations and that it's currently beginning to notify them. The development comes a day after Hewlett Packard Enterprise (HPE)  revealed  that it had been the victim of an attack perpetrated by a hacking crew tracked as  APT29 , which is also known as BlueBravo, Cloaked Ursa, Cozy Bear, Midnight Blizzard (formerly Nobelium), and The Dukes. ""This threat actor is known to primarily target governments, diplomatic entities, non-governmental organizations (NGOs) and IT service providers, primarily in the U.S. and Europe,"" the Microsoft Threat Intelligence team  said  in a new advisory. The primary goal of these espionage missions is to gather sensitive information that is of strategic interest to Russia by maintaining footholds for extended periods of time without attracting any attention. The latest disc",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg7uUJVERhnBCwZ8ZmKWX4dR3AMN-7rMXrA5O-2R-XTICsiMsUM1sZYbRhJIUzE-kSHOjC2SRmDe31V9FtyzPnzLlMoIBt2guPhyphenhyphen9GVgIAomhLt7EJS-VWJAea_M24JjjURYA7AOp6qO_9QfXf31Fon-uadyiVkCI-ahd06EVeSi0myJFZH-17bS-bAqDx6/s728-rw-e365/russian-hackers.jpg,"
,
,
",https://thehackernews.com/2024/01/microsoft-warns-of-widening-apt29.html,Threat Intelligence,Cyber Attack,Microsoft Warns of Widening APT29 Espionage Attacks Targeting Global Orgs
Kasseika Ransomware Using BYOVD Trick to Disarm Security Pre-Encryption,"Jan 24, 2024"," The ransomware group known as Kasseika has become the latest to leverage the Bring Your Own Vulnerable Driver ( BYOVD ) attack to disarm security-related processes on compromised Windows hosts, joining the likes of other groups like Akira , AvosLocker, BlackByte, and RobbinHood . The tactic allows ""threat actors to terminate antivirus processes and services for the deployment of ransomware,"" Trend Micro said in a Tuesday analysis. Kasseika, first discovered by the cybersecurity firm in mid-December 2023, exhibits overlaps with the now-defunct BlackMatter , which emerged in the aftermath of DarkSide's shutdown. There is evidence to suggest that the ransomware strain could be the handiwork of an experienced threat actor that acquired or purchased access to BlackMatter, given that the latter's source code has never publicly leaked post its demise in November 2021. Attack chains involving Kasseika commence with a phishing email for initial access, subsequently ",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiWZbgJKJkgAJZP2_bZlskU0hP94SEX6Yy-8UKAsAyCpe0JRh72VJkSBhaSarWM1ByXc_XuLLsPSboGDnkDHzqaIDJIOGGqhoeQRIzquU9y9_jEgd6_vJ8bD186_6bQnB-CTw91P130cqaiMlVFE4AxhUlCOiEcQFLUNwJ1NiDMk5oAlAlTFBH0ATeHD2Hs/s728-rw-e365/ransomware.jpg,"
,
,
",https://thehackernews.com/2024/01/kasseika-ransomware-using-byovd-trick.html,Ransomware,Endpoint Security,Kasseika Ransomware Using BYOVD Trick to Disarm Security Pre-Encryption
"~40,000 Attacks in 3 Days: Critical Confluence RCE Under Active Exploitation","Jan 23, 2024"," Malicious actors have begun to actively exploit a recently disclosed critical security flaw impacting Atlassian Confluence Data Center and Confluence Server, within three days of public disclosure. Tracked as CVE-2023-22527 (CVSS score: 10.0), the vulnerability impacts out-of-date versions of the software, allowing unauthenticated attackers to achieve remote code execution on susceptible installations. The shortcoming affects Confluence Data Center and Server 8 versions released before December 5, 2023, as well as 8.4.5. But merely days after the flaw became public knowledge, nearly 40,000 exploitation attempts targeting CVE-2023-22527 have been recorded in the wild as early as January 19 from more than 600 unique IP addresses, according to both the Shadowserver Foundation and the DFIR Report . The activity is currently limited ""testing callback attempts and 'whoami' execution,"" suggesting that threat actors are opportunistically scanning for vulnerable servers",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjMz0fi3Z_DuQVGHuD0qMhwE-uAng8Ux_753zo3cD7r5n97JdWJkLqCz1AvpRUI1KpgQpwP51nep2JjaF89VdV5oIt5ATBQrgl4WLd67Fbs7MXLUijkcYHna5ZZ71rRm-CdzEUA31A0QAivMxEzRhwZi0UK3nMDSbgXIgMcTh8BMzk_srUuWvtO14ZOTm5v/s728-rw-e365/jira.jpg,"
,
,
",https://thehackernews.com/2024/01/40000-attacks-in-3-days-critical.html,Vulnerability,Cyber Attack,"~40,000 Attacks in 3 Days: Critical Confluence RCE Under Active Exploitation"
CISA Issues Emergency Directive to Federal Agencies on Ivanti Zero-Day Exploits,"Jan 20, 2024"," The U.S. Cybersecurity and Infrastructure Security Agency (CISA) on Friday issued an  emergency directive  urging Federal Civilian Executive Branch (FCEB) agencies to implement mitigations against two actively exploited zero-day flaws in Ivanti Connect Secure (ICS) and Ivanti Policy Secure (IPS) products. The development arrives as the  vulnerabilities  – an authentication bypass (CVE-2023-46805) and a code injection bug (CVE-2024-21887) – have come under widespread exploitation by multiple threat actors. The flaws allow a malicious actor to craft malicious requests and execute arbitrary commands on the system. The U.S. company  acknowledged  in an advisory that it has witnessed a ""sharp increase in threat actor activity"" starting on January 11, 2024, after the shortcomings were publicly disclosed. ""Successful exploitation of the vulnerabilities in these affected products allows a malicious threat actor to move laterally, perform data exfiltration, and establish per",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiyYpVGKV2DaxQbv7Ry0cnA3mKN35Ri4xZ5wGkp5CpGjfElWgL9TMrZOdisJKxFo6BG863794Ufi8BkijFQODwPr5Z044e4mcmryBM1x7bSnxomsqxW0NlHXwu3JDl-oloZmoyNw64JNE71N94N2hpgNb05qo2rWkbIzqUoA30kXr_qtgKZKwliiSMawYqR/s728-rw-e365/cisa.jpg,"
,
,
",https://thehackernews.com/2024/01/cisa-issues-emergency-directive-to.html,Network Security,Threat Intelligence,CISA Issues Emergency Directive to Federal Agencies on Ivanti Zero-Day Exploits
Zero-Day Alert: Update Chrome Now to Fix New Actively Exploited Vulnerability,"Jan 17, 2024"," Google on Tuesday released updates to fix four security issues in its Chrome browser, including an actively exploited zero-day flaw. The issue, tracked as CVE-2024-0519 , concerns an out-of-bounds memory access in the V8 JavaScript and WebAssembly engine, which can be weaponized by threat actors to trigger a crash. ""By reading out-of-bounds memory, an attacker might be able to get secret values, such as memory addresses, which can be bypass protection mechanisms such as ASLR in order to improve the reliability and likelihood of exploiting a separate weakness to achieve code execution instead of just denial of service,"" according to MITRE's Common Weakness Enumeration ( CWE ). Additional details about the nature of the attacks and the threat actors that may be exploiting it have been withheld in an attempt to prevent further exploitation. The issue was reported anonymously on January 11, 2024. ""Out-of-bounds memory access in V8 in Google Chrome prior to 120.",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjwn1FAAK_8xGkSlHJhK7BHDotaQAXejK01nHL7x726OMiuyRpt0QBSe3BZ7Zyv76o1GFMPqNIkh66V1FS7HGuzJnmW01kGxQDnWwB2OFnfj3N8F6LBqWepZXSwpD3Kl4mZugYWju9XQv8ANjMwOaQWzLl4c7-uC8SzNh4VKJZyR25FzyCU1KxAmcjc0yS3/s728-rw-e365/chrome-0day.jpg,"
,
,
",https://thehackernews.com/2024/01/zero-day-alert-update-chrome-now-to-fix.html,Browser Security,Vulnerability,Zero-Day Alert: Update Chrome Now to Fix New Actively Exploited Vulnerability
"DDoS Attacks on the Environmental Services Industry Surge by 61,839% in 2023","Jan 15, 2024"," The environmental services industry witnessed an ""unprecedented surge"" in HTTP-based distributed denial-of-service (DDoS) attacks, accounting for half of all its HTTP traffic. This marks a 61,839% increase in DDoS attack traffic year-over-year, web infrastructure and security company Cloudflare said in its DDoS threat report for 2023 Q4 published last week. ""This surge in cyber attacks coincided with  COP 28 , which ran from November 30th to December 12th, 2023,"" security researchers Omer Yoachimik and Jorge Pacheco  said , describing it as a ""disturbing trend in the cyber threat landscape."" The uptick in HTTP attacks targeting environmental services websites is part of a larger trend observed annually over the past few years, specifically during COP 26 and COP 27, as well as other United Nations environment-related resolutions or announcements. ""This recurring pattern underscores the growing intersection between environmental issues and cyber security, a nexus that is increasingl",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg_mOx6qg9PROCV_akhIUDIXDJyQ7VG5lTfScNLkDuTw6tRXHayvV4kG8xk-DETrH9CjOY6N__sT-mbbq_lPgpuHKRdRr5qDu9CR7NiGDuGwi9tzC55lP2P1cVUEUzMTSkSOpLOMHS-FRVghdeV5vn8lUTjKou4stMoxvEKOGRSTUTN6fiZRK7HySdbVvAC/s728-rw-e365/ddos.jpg,"
,
,
",https://thehackernews.com/2024/01/ddos-attacks-on-environmental-services.html,Server Security,Cyber Attack,"DDoS Attacks on the Environmental Services Industry Surge by 61,839% in 2023"
How Nation-State Actors Target Your Business: New Research Exposes Major SaaS Vulnerabilities ,"Feb 15, 2024"," With many of the highly publicized 2023 cyber attacks revolving around one or more SaaS applications, SaaS has become a cause for genuine concern in many boardroom discussions. More so than ever, considering that GenAI applications are, in fact, SaaS applications. Wing Security (Wing), a SaaS security company, conducted an analysis of 493 SaaS-using companies in Q4 of 2023.  Their study reveals  how companies use SaaS today, and the wide variety of threats that result from that usage. This unique analysis provides rare and important insights into the breadth and depth of SaaS-related risks, but also provides practical tips to mitigate them and ensure SaaS can be widely used without compromising security posture.  The TL;DR Version Of SaaS Security 2023 brought some now infamous examples of malicious players leveraging or directly targeting SaaS, including the North Korean group UNC4899, 0ktapus ransomware group, and Russian Midnight Blizzard APT, which targeted well-known organizat",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhCb3lbR5kKaNE9_BRADHrZqnNzA8MYLNnIDfJ8esB94HKtdiQsqC0exNVk5hWYeLbeUYgQyjqJoIshnKImmBKXjjSU_QWjoQnFtll_ge1xVfpf-nAl_f15ERLDetjxzj__ejnde7ebtIh3E27BN3Xm5UTrexnvX5p7oL_dT8oq25Pl5jwRT1UqeQb4VO8/s728-rw-e365/wing.jpg,,https://thehackernews.com/2024/02/how-nation-state-actors-target-your.html,SaaS Security,Risk Management,How Nation-State Actors Target Your Business: New Research Exposes Major SaaS Vulnerabilities 
New Findings Challenge Attribution in Denmark's Energy Sector Cyberattacks,"Jan 14, 2024"," The cyber attacks targeting the energy sector in Denmark last year may not have had the involvement of the Russia-linked Sandworm hacking group,  new findings  from Forescout show. The intrusions, which  targeted around 22 Danish energy organizations  in May 2023, occurred in two distinct waves, one which exploited a security flaw in Zyxel firewall (CVE-2023-28771) and a follow-on activity cluster that saw the attackers deploy Mirai botnet variants on infected hosts via an as-yet-unknown initial access vector. The first wave took place on May 11, while the second wave lasted from May 22 to 31, 2023. In one such attack detected on May 24, it was observed that the compromised system was communicating with IP addresses (217.57.80[.]18 and 70.62.153[.]174) that were previously used as command-and-control (C2) for the now-dismantled  Cyclops Blink  botnet. Forescout's closer examination of the attack campaign, however, has revealed that not only were the two waves unrelated, but also ",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjxUnGsFu7yBvYVmL9tprCtuGSGeE23q7YNTx1EI7AFogirEROSy02c84KcsN3DoI4KFf6sW7HEu6sOZCJiqGdV4LsEoaSsWslAmrTWerS5DSDgCFndPAmbxw1C9AtopZt6e02Ysxj2l21eLQ40O9EcijlsTzh89SCY4stfYfyjyorU5yCDFk89oQsu_UYn/s728-rw-e365/cyberattack.jpg,"
,
,
",https://thehackernews.com/2024/01/new-findings-challenge-attribution-in.html,Cyber Attack,Vulnerability,New Findings Challenge Attribution in Denmark's Energy Sector Cyberattacks
Pro-Iranian Hacker Group Targeting Albania with No-Justice Wiper Malware,"Jan 06, 2024"," The  recent wave of cyber attacks  targeting Albanian organizations involved the use of a wiper called  No-Justice . The  findings  come from cybersecurity company ClearSky, which said the Windows-based malware ""crashes the operating system in a way that it cannot be rebooted."" The intrusions have been attributed to an Iranian ""psychological operation group"" known as Homeland Justice, which has been active since July 2022, specifically orchestrating destructive attacks against Albania. On December 24, 2023, the adversary resurfaced after a hiatus, stating it's ""back to destroy supporters of terrorists,"" describing its latest campaign as #DestroyDurresMilitaryCamp. The Albanian city of Durrës  currently hosts  the dissident group People's Mojahedin Organization of Iran (MEK). Targets of the attack included ONE Albania, Eagle Mobile Albania, Air Albania, and the Albanian parliament. Two of the primary tools deployed during the campaign include an executa",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjKt1SEX3HeNywdWzW7B9-QtNM5JlHVXkhfn0taqc8YJVHvDhlTOe7-2W25nxoqvWrEwpWRPH_Z-qbfDU8fy_5xC-qhWNOZkkx3G1UgAwgE1b-VKA7g7iiy1QFcpcqVRFNgSy1WKEoK6hSCLHA1O-VdYkv4d4mfGp7bE1ruJ3nVeMrvb0Z0uJhWE4HlPf8q/s728-rw-e365/apple.jpg,"
,
,
",https://thehackernews.com/2024/01/pro-iranian-hacker-group-targeting.html,Malware,Cyber Attack,Pro-Iranian Hacker Group Targeting Albania with No-Justice Wiper Malware
Albanian Parliament and One Albania Telecom Hit by Cyber Attacks,"Dec 29, 2023"," The Assembly of the Republic of Albania and telecom company One Albania have been targeted by cyber attacks, the country's National Authority for Electronic Certification and Cyber Security (AKCESK) revealed this week. ""These infrastructures, under the legislation in force, are not currently classified as critical or important information infrastructure,"" AKCESK  said . One Albania, which has nearly 1.5 million subscribers, said in a  Facebook post  on December 25 that it had handled the security incident without any issues and that its services, including mobile, landline, and IPTV, remained unaffected. AKCESK further  noted  that the intrusions did not originate from Albanian IP addresses, adding it managed to ""identify potential cases in real-time."" The agency also said that it has been focusing its efforts on identifying the source of the attacks, recovering compromised systems, and implementing security measures to prevent such incidents from happening again in the future. ",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg-9Y1BQGJ1BI9uX9EybGSa4__A9pDtodxqeCMCT2xHD8FAmssWujIJe4tE7f2kStznxmvSiIn-1CRGP7xHfsZ8kmpecQcOn8qVvv_4h3QIsyDp1Od_S_TCbTTjLHEMzul1IVrdIRNJ6RZ7b6ObZ1v_ps_ozWRmReKl7Vbl1YsrAXBIBadTgGY1ZDtr6aVr/s728-rw-e365/iran.jpg,"
,
,
",https://thehackernews.com/2023/12/albanian-parliament-and-one-albania.html,Cyber Attack,Web Security,Albanian Parliament and One Albania Telecom Hit by Cyber Attacks
Iranian Hackers Using MuddyC2Go in Telecom Espionage Attacks Across Africa,"Dec 19, 2023"," The Iranian nation-state actor known as  MuddyWater  has leveraged a newly discovered command-and-control (C2) framework called MuddyC2Go in its attacks on the telecommunications sector in Egypt, Sudan, and Tanzania. The Symantec Threat Hunter Team, part of Broadcom, is  tracking  the activity under the name Seedworm, which is also tracked under the monikers Boggy Serpens, Cobalt Ulster, Earth Vetala, ITG17, Mango Sandstorm (formerly Mercury), Static Kitten, TEMP.Zagros, and Yellow Nix. Active since at least 2017,  MuddyWater  is assessed to be affiliated with Iran's Ministry of Intelligence and Security (MOIS), primarily singling out entities in the Middle East. The cyber espionage group's use of  MuddyC2Go  was first highlighted by Deep Instinct last month, describing it as a Golang-based replacement for  PhonyC2 , itself a successor to MuddyC3. However, there is evidence to suggest that it may have been employed as early as 2020. While the full extent of MuddyC2Go'",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgdL3CqNH3WdkKCxv1C-gCV1wQACYwZhtLig-JonZREDb6lGqtzm_zwgBIgYfHHWaLrbNpktQh8a60daE-YN1BXZMvqXK8dzl-ERi7sEjYXuvId73upxAlcL1q01Yxsv0DWdSopro6-yhrA21QK3K_icZ1UZVWnBEgpDENvcbX5h2CmFB-ljPXfQAB0rLlP/s728-rw-e365/iran-hacker.jpg,"
,
,
",https://thehackernews.com/2023/12/iranian-hackers-using-muddyc2go-in-new.html,Cyber Espionage,Cyber Attack,Iranian Hackers Using MuddyC2Go in Telecom Espionage Attacks Across Africa
CISA Urges Manufacturers Eliminate Default Passwords to Thwart Cyber Threats,"Dec 18, 2023"," The U.S. Cybersecurity and Infrastructure Security Agency (CISA) is  urging  manufacturers to get rid of default passwords on internet-exposed systems altogether, citing severe risks that could be exploited by malicious actors to gain initial access to, and move laterally within, organizations. In an alert published last week, the agency called out Iranian threat actors affiliated with the Islamic Revolutionary Guard Corps (IRGC) for exploiting operational technology devices with default passwords to gain access to critical infrastructure systems in the U.S. Default passwords  refer to factory default software configurations for embedded systems, devices, and appliances that are typically publicly documented and identical among all systems within a vendor's product line. As a result, threat actors could scan for internet-exposed endpoints using tools like Shodan and attempt to breach them through default passwords, often gaining root or administrative privileges to  perform po",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjwTQwzqZ4el-CwAGBHQ8eKB_CLZz3HrPy_Nax4c0bRSPtvUa-zqQxmhAIn2Fz3_wYq_8fKS6SwEUrLvIP_5U43ZiXozrrfMtWtkjkqxFupFeyoOBCuX-Pag4q8UdolmomFsrii_vgqT_MhT0tAPUXLy7l9Vqi3OLlXNwGVdv-iRifYP8r-T_7IzWieVBc2/s728-rw-e365/passwords.jpg,"
,
,
",https://thehackernews.com/2023/12/cisa-urges-manufacturers-eliminate.html,Software Security,Vulnerability,CISA Urges Manufacturers Eliminate Default Passwords to Thwart Cyber Threats
Major Cyber Attack Paralyzes Kyivstar - Ukraine's Largest Telecom Operator ,"Dec 13, 2023"," Ukraine's biggest telecom operator Kyivstar has  become  the victim of a "" powerful hacker attack ,"" disrupting customer access to mobile and internet services. ""The cyberattack on Ukraine's #Kyivstar telecoms operator has impacted all regions of the country with high impact to the capital, metrics show, with knock-on impacts reported to air raid alert network and banking sector as work continues to restore connectivity,"" NetBlocks  said  in a series of posts on X (formerly Twitter). Kyivstar, which is owned by Dutch-domiciled multinational telecommunication services company VEON,  serves  nearly 25 million mobile subscribers and more than 1 million home internet customers. The company said the attack was ""a result of"" the war with Russia and that it has notified law enforcement and special state services. While Kyivstar is working to restore the services, the internet watchdog noted that the telco is largely offline. That said, Kyivstar has yet t",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj4nWCrtbCCujdeP5VLBkciYDbQzTloeU9glDSFsNPasrKG6a-I6BgsqsZARLGQ4wmDsekATP__Pei7G3-7gK_UlmKlp4-jHj6GDlghrr2md9PnSmVA5MwimKBIE7pMUzvRHhJKPjWqZY5um7PULHWA4mI-NIHBz9K7xMXjKQjU-WyMNXWCdI6DpzwPs8X1/s728-rw-e365/cyberattack.jpg,"
,
,
",https://thehackernews.com/2023/12/major-cyber-attack-paralyzes-kyivstar.html,Cyber Attack,Geopolitics,Major Cyber Attack Paralyzes Kyivstar - Ukraine's Largest Telecom Operator 
Non-Human Access is the Path of Least Resistance: A 2023 Recap,"Dec 12, 2023"," 2023 has seen its fair share of cyber attacks, however there's one attack vector that proves to be more prominent than others - non-human access. With  11 high-profile attacks in 13 months  and an ever-growing ungoverned attack surface, non-human identities are the new perimeter, and 2023 is only the beginning.  Why non-human access is a cybercriminal's paradise  People always look for the easiest way to get what they want, and this goes for cybercrime as well. Threat actors look for the path of least resistance, and it seems that in 2023 this path was non-user access credentials (API keys, tokens, service accounts and secrets).  "" 50% of the active access tokens connecting Salesforce and third-party apps are unused. In GitHub and GCP the numbers reach 33%."" These non-user access credentials are used to connect apps and resources to other cloud services. What makes them a true hacker's dream is that they have no security measures like user credentials do (MFA, SSO or other IAM pol",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgmWbS5ycnyGutc4gpBaGYeT1xivbkY4Mo5nixiiyJ9wmW3hbi4YanY9rrLPUBohXwvCloK1-gA44IwI3sRnIGjR__gX9VBXZq6JhWVWn6PjG5eQVA8aqTTfQttNcV1tRqfKTqkB1FsVjXPSuEmjsEvM8YvnI68p7S_QzwBwHgT9pdLxj6r9XuqOglTmvE/s12000/aws.jpg,"
,
,
",https://thehackernews.com/2023/12/non-human-access-is-path-of-least.html,Cybersecurity,GenAI Security,Non-Human Access is the Path of Least Resistance: A 2023 Recap
New Threat Actor 'AeroBlade' Emerges in Espionage Attack on U.S. Aerospace,"Dec 05, 2023"," A previously undocumented threat actor has been linked to a cyber attack targeting an aerospace organization in the U.S. as part of what's suspected to be a cyber espionage mission. The BlackBerry Threat Research and Intelligence team is tracking the activity cluster as  AeroBlade . Its origin is currently unknown and it's not clear if the attack was successful. ""The actor used spear-phishing as a delivery mechanism: A weaponized document, sent as an email attachment, contains an embedded remote template injection technique and a malicious VBA macro code, to deliver the next stage to the final payload execution,"" the company  said  in an analysis published last week. The network infrastructure used for the attack is said to have gone live around September 2022, with the offensive phase of the intrusion occurring nearly a year later in July 2023, but not before the adversary took steps to improvise its toolset to make it more stealthy in the intervening time perio",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgqEy4-aiml5Xrp2yNZ7KO7Esjd-qa-3vXhAoQaMLDuQX7mszzWfttQ91N7UjT4bXXuhuP_f1wHeFGByHhP9-7zrri7-cVDqK3GDuPkE9sdVMrXtF7JTygJJQcPERUysArGgE1T_648tQi3yupKhWoOsiyYDD0_PuDmkmHG5Co_gMaJk9O4SJVwMoRRmFVS/s728-rw-e365/aero.jpg,"
,
,
",https://thehackernews.com/2023/12/new-threat-actor-aeroblade-emerges-in.html,Cyber Espionage,Threat Analysis,New Threat Actor 'AeroBlade' Emerges in Espionage Attack on U.S. Aerospace
Iranian Hackers Exploit PLCs in Attack on Water Authority in U.S.,"Nov 29, 2023"," The U.S. Cybersecurity and Infrastructure Security Agency (CISA) revealed that it's responding to a cyber attack that involved the active exploitation of Unitronics programmable logic controllers (PLCs) to target the Municipal Water Authority of Aliquippa in western Pennsylvania. The attack has been attributed to an Iranian-backed hacktivist collective known as Cyber Av3ngers. ""Cyber threat actors are targeting PLCs associated with [Water and Wastewater Systems] facilities, including an identified Unitronics PLC, at a U.S. water facility,"" the agency said . ""In response, the affected municipality's water authority immediately took the system offline and switched to manual operations—there is no known risk to the municipality's drinking water or water supply."" According to news reports quoted by the Water Information Sharing and Analysis Center (WaterISAC), Cyber Av3ngers is alleged to have seized control of the booster station that monitors and regulates p",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgtFyPrVJY-k5-hIuXwgMBaJf6vIbO4r7eIKS0c-Imt77pAYlqKTdzdD2pcPo_qI9gKLlxn1BXYS-u0QchB-YR8v7jVT5HYYZkY0-_Y26NuJ_APQTUaVn_ENN1tyiFZg6UOKJs2SsJV6MpKLsTuYd4kbdvw5k1Xl1xH21BNXFHL_-9pqxo-uviqOiOTNMml/s728-rw-e365/water.jpg,"
,
,
",https://thehackernews.com/2023/11/iranian-hackers-exploit-plcs-in-attack.html,Cyber Attack,Hacking,Iranian Hackers Exploit PLCs in Attack on Water Authority in U.S.
New 'HrServ.dll' Web Shell Detected in APT Attack Targeting Afghan Government,"Nov 25, 2023"," An unspecified government entity in Afghanistan was targeted by a previously undocumented web shell called  HrServ  in what's suspected to be an advanced persistent threat (APT) attack. The web shell, a dynamic-link library (DLL) named ""hrserv.dll,"" exhibits ""sophisticated features such as custom encoding methods for client communication and in-memory execution,"" Kaspersky security researcher Mert Degirmenci  said  in an analysis published this week. The Russian cybersecurity firm said it identified variants of the malware dating all the way back to early 2021 based on the compilation timestamps of these artifacts. Web shells are typically  malicious tools  that provide remote control over a compromised server. Once uploaded, it allows threat actors to carry out a range of post-exploitation activities, including data theft, server monitoring, and lateral advancement within the network. The attack chain involves the  PAExec  remote administration tool, an alternative to  PsExec  t",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjABT0NvULQZbPASXYw24msOskbFcpxTvhOqlkDngxj6AR9_CoLcHAsPWv14_Oshej7A5SIXU3kf4gLUTAqnbaGBPzxW_FZ2Esc2M999OKK7SA83wNIu0f0bAMoPiNPE2XRCbWTlWAFmCBBLTC8egX95IPRMlyI_zE1TnJ52hXWnRUTND8TqcetQI7l02V8/s728-rw-e365/cyberattack.jpg,"
,
,
",https://thehackernews.com/2023/11/new-hrservdll-web-shell-detected-in-apt.html,Cyber Attack,Threat Intelligence,New 'HrServ.dll' Web Shell Detected in APT Attack Targeting Afghan Government
Mustang Panda Hackers Targets Philippines Government Amid South China Sea Tensions,"Nov 21, 2023"," The China-linked Mustang Panda actor has been linked to a cyber attack targeting a Philippines government entity amid  rising tensions  between the two countries over the disputed South China Sea. Palo Alto Networks Unit 42 attributed the adversarial collective to three campaigns in August 2023, primarily singling out organizations in the South Pacific. ""The campaigns leveraged legitimate software including Solid PDF Creator and SmadavProtect (an Indonesian-based antivirus solution) to sideload malicious files,"" the company  said . ""Threat authors also creatively configured the malware to impersonate legitimate Microsoft traffic for command-and-control (C2) connections."" Mustang Panda, also tracked under the names Bronze President, Camaro Dragon, Earth Preta, RedDelta, and Stately Taurus, is assessed to be a Chinese advanced persistent threat (APT) active since at least 2012,  orchestrating   cyber espionage   campaigns  targeting non-governmental organization",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgtdMkWqhSLs0PDd4xmYueu-bYBuGtNVwAHyD2T-FVksEB1sc0H-zoxH5VtGQruHAQIMayyGdzVKIciPJaJxdF4DDE9XBrjVHsiUFm60cYvz6w9CUQTHmawv5cqrYYm2ZljTpBmOqrydBvsY_YT81692KVpBY5weffa4GIGmYmRCF06IbVOpmQHHiW0HLsd/s728-rw-e365/china.jpg,"
,
,
",https://thehackernews.com/2023/11/mustang-panda-hackers-targets.html,Cyber Attack,Cyber Espionage,Mustang Panda Hackers Targets Philippines Government Amid South China Sea Tensions
